sh_code;sh_level;kingdom;phylum;class;order;family;genus;species;lowest_taxon;lowest_taxon_level
SH0951714.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Atractosporales;Atractosporaceae;Atractospora;Atractospora_sp;Atractospora;genus
SH0959426.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_sp;Cladophialophora;genus
SH0963191.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycenaceae_gen_unspecified;Mycenaceae_sp;Mycenaceae_gen_unspecified;genus
SH0965969.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariales_fam_Incertae_sedis;Basidiodendron;Basidiodendron_walleynii;Basidiodendron_walleynii;species
SH0982375.10FU;1,5;Fungi;Rozellomycota;Rozellomycota_cls_unspecified;Rozellomycota_ord_unspecified;Rozellomycota_fam_unspecified;Rozellomycota_gen_unspecified;Rozellomycota_sp;Rozellomycota_gen_unspecified;genus
SH1001900.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariales_fam_unspecified;Auriculariales_gen_unspecified;Auriculariales_sp;Auriculariales_gen_unspecified;genus
SH1005138.10FU;1,5;Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporidiobolaceae_gen_unspecified;Sporidiobolaceae_sp;Sporidiobolaceae_gen_unspecified;genus
SH0863563.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae;Trechispora;Trechispora_sp;Trechispora;genus
SH0858706.10FU;1,5;Fungi;Ascomycota;Ascomycota_cls_unspecified;Ascomycota_ord_unspecified;Ascomycota_fam_unspecified;Ascomycota_gen_unspecified;Ascomycota_sp;Ascomycota_gen_unspecified;genus
SH0971234.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Oliveoniaceae;Oliveonia;Oliveonia_sp;Oliveonia;genus
SH1002618.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Sporothrix;Sporothrix_eucastaneae;Sporothrix_eucastaneae;species
SH0735987.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Nectriaceae_gen_unspecified;Nectriaceae_sp;Nectriaceae_gen_unspecified;genus
SH0736075.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Cosmospora;Cosmospora_sp;Cosmospora;genus
SH0907935.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_unspecified;Helotiales_gen_unspecified;Helotiales_sp;Helotiales_gen_unspecified;genus
SH0731119.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Cylindrocladium;Cylindrocladium_buxicola;Cylindrocladium_buxicola;species
SH0736204.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusicolla;Fusicolla_violacea;Fusicolla_violacea;species
SH0864417.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Sordariomycetes_ord_Incertae_sedis;Junewangiaceae;Sporidesmiella;Sporidesmiella_pini;Sporidesmiella_pini;species
SH0838061.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Ovicillium;Ovicillium_napiforme;Ovicillium_napiforme;species
SH0877019.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Cephalothecales;Cephalothecaceae;Cephalotheca;Cephalotheca_sp;Cephalotheca;genus
SH0940689.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium_spathulatum;Penicillium_spathulatum;species
SH0962534.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Amylocorticiales;Amylocorticiaceae;Plicaturopsis;Plicaturopsis_crispa;Plicaturopsis_crispa;species
SH0735143.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_unspecified;Helotiales_gen_unspecified;Helotiales_sp;Helotiales_gen_unspecified;genus
SH0743274.10FU;1,5;Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Pseudosigmoidea;Pseudosigmoidea_alnicola;Pseudosigmoidea_alnicola;species
SH0744249.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_ord_unspecified;Agaricomycetes_fam_unspecified;Agaricomycetes_gen_unspecified;Agaricomycetes_sp;Agaricomycetes_gen_unspecified;genus
SH0758367.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Sarocladiaceae;Sarocladium;Sarocladium_dejongiae;Sarocladium_dejongiae;species
SH0820339.10FU;1,5;Fungi;Ascomycota;Dothideomycetes;Venturiales;Venturiales_fam_unspecified;Venturiales_gen_unspecified;Venturiales_sp;Venturiales_gen_unspecified;genus
SH0820348.10FU;1,5;Fungi;Ascomycota;Dothideomycetes;Venturiales;Cylindrosympodiaceae;Pseudoanungitea;Pseudoanungitea_sp;Pseudoanungitea;genus
SH0856169.10FU;1,5;Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Vanrija;Vanrija_sp;Vanrija;genus
SH0861267.10FU;1,5;Fungi;Ascomycota;Candelariomycetes;Candelariales;Pycnoraceae;Pycnora;Pycnora_sp;Pycnora;genus
SH0869484.10FU;1,5;Fungi;Zoopagomycota;Zoopagomycota_cls_unspecified;Zoopagomycota_ord_unspecified;Zoopagomycota_fam_unspecified;Zoopagomycota_gen_unspecified;Zoopagomycota_sp;Zoopagomycota_gen_unspecified;genus
SH0897370.10FU;1,5;Fungi;Ascomycota;Ascomycota_cls_unspecified;Ascomycota_ord_unspecified;Ascomycota_fam_unspecified;Ascomycota_gen_unspecified;Ascomycota_sp;Ascomycota_gen_unspecified;genus
SH0897395.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Hyaloscypha;Hyaloscypha_fuckelii;Hyaloscypha_fuckelii;species
SH0902730.10FU;1,5;Fungi;Fungi_phy_unspecified;Fungi_cls_unspecified;Fungi_ord_unspecified;Fungi_fam_unspecified;Fungi_gen_unspecified;Fungi_sp;Fungi_gen_unspecified;genus
SH0941531.10FU;1,5;Fungi;Fungi_phy_unspecified;Fungi_cls_unspecified;Fungi_ord_unspecified;Fungi_fam_unspecified;Fungi_gen_unspecified;Fungi_sp;Fungi_gen_unspecified;genus
SH0942960.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Polyporales;Hyphodermataceae;Hyphoderma;Hyphoderma_sp;Hyphoderma;genus
SH0952297.10FU;1,5;Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;GS05;GS05_fam_unspecified;GS05_gen_unspecified;GS05_sp;GS05_gen_unspecified;genus
